snr_db,rmse_samples_none,rmse_samples_parabolic,sigma_crlb_samples,efficiency_none,efficiency_parabolic,improvement_factor
30.0,0.2789969521818781,0.008573689031759086,0.006709064220319525,41.58507699730897,1.2779262129869366,32.54106268006732
25.0,0.2849711587200711,0.013807152706721738,0.012122271932952322,23.508065179219898,1.1389905112744878,20.639386321941565
20.0,0.28348766785057816,0.02361616067495066,0.020865904943655988,13.586166936736138,1.131806204366461,12.003969305276183
15.0,0.28624251402696727,0.04161044659110773,0.03760687944124397,7.611440201364894,1.1064583716954988,6.879102184116864
10.0,0.30227953414451314,0.07382215784743093,0.06754971088719162,4.474919732066975,1.0928567550898083,4.094699246928512
8.0,0.3042962537281018,0.09291947896362106,0.08502141618873825,3.5790541650423395,1.0928949802171017,3.2748381407437397
7.5,0.3018191406065789,0.09825905861656087,0.08888207653208713,3.3957255768841064,1.1054991337999238,3.0716673338422296
7.0,0.3076375188000603,0.10417464287798371,0.09359316616823189,3.286965612928276,1.1130582193440473,2.9530940572590767
6.5,0.3107589908884883,0.11041998770507722,0.09981680460126487,3.1132933189944088,1.106226432975575,2.8143364018342423
6.0,0.31170642657551834,0.11701863898668764,0.10483782451436938,2.973224864398011,1.1161872113308564,2.663733139222196
5.5,0.3131296146598616,0.12385383607503392,0.11317747794657254,2.7667131335766295,1.0943328860314536,2.528218944063706
5.0,0.31318999730265284,0.13123272722082913,0.12081527765440055,2.5923045775597346,1.0862262601939163,2.38652357483693
4.0,0.32513636928671247,0.1477052628994966,0.13184966943868312,2.465962718533152,1.1202550869358616,2.201251078696808
3.0,0.32286070144212975,0.16348520519489174,0.14769646735767647,2.185974432687399,1.106899901667788,1.9748618907579158
2.0,0.3508691526508664,0.18262719027055418,0.16666001618853105,2.1052989233719512,1.0958068674610026,1.9212317296842223
1.0,0.33628156475025756,0.21184775839762696,0.1868010041922083,1.8002128318552384,1.1340825458285377,1.5873737220248276
0.0,0.387265001079187,0.23349290411071214,0.2098759744077836,1.845208829509666,1.1125280288492738,1.6585728913438964
